rating,title,review_text,date,platform
5,,good very helpful app,2026-06-06 10:58:43+00:00,google_play
5,,very Good app,2026-06-06 10:48:30+00:00,google_play
5,,nice aap,2026-06-06 10:36:09+00:00,google_play
1,,🫱🫲,2026-06-06 10:23:46+00:00,google_play
5,,seen,2026-06-06 10:22:32+00:00,google_play
5,,more simple more trading,2026-06-06 10:06:20+00:00,google_play
5,,superb,2026-06-06 09:57:50+00:00,google_play
5,,good👍,2026-06-06 09:54:30+00:00,google_play
5,,call centre facility required,2026-06-06 09:14:45+00:00,google_play
5,,😲😲😲😲😲,2026-06-06 08:50:03+00:00,google_play
1,,it's always go on down fall don even try it ....,2026-06-06 08:39:51+00:00,google_play
5,,very nice,2026-06-06 08:37:30+00:00,google_play
1,,I have deactivated my account how to enable it...,2026-06-06 08:31:44+00:00,google_play
4,,Nice 👍 App,2026-06-06 08:31:05+00:00,google_play
5,,ee number send kar 😭 na ho 4 CT xy,2026-06-06 08:14:53+00:00,google_play
3,,w u,2026-06-06 08:13:01+00:00,google_play
5,,excllent,2026-06-06 07:57:32+00:00,google_play
5,,mast,2026-06-06 07:35:43+00:00,google_play
5,,MOHAMMED YOUSUF,2026-06-06 07:25:08+00:00,google_play
1,,very bad,2026-06-06 07:22:05+00:00,google_play
5,,wow,2026-06-06 07:00:33+00:00,google_play
5,,awesome 😎👍🏻,2026-06-06 06:58:05+00:00,google_play
1,,"Needs to improve Options trading features.. 1. Hangs when market gets huge txns. 2. Target or Stop Loss handles only Qty of 1755 in Scalper mode... it shud accept Target or Stop Loss for whole Trade Qty in SCALPER mode, GROWW shud itself break the orders in multiples of 1755... I hav lost lakhs due to this glitch.. 3. GROWW shud introduce feature of optiing Auto Set STOP LOSS.. i. e when user sets this feature in settings for OPTION for Auto STOP LOSS.. and shud move down with avg amt",2026-06-06 05:47:06+00:00,google_play
5,,I am very happy to trade on Thursday and the payment is credited immediately thank you!,2026-06-06 05:46:23+00:00,google_play
5,,",😛",2026-06-06 05:34:02+00:00,google_play
4,,Helloo... groww team please add auto stoploss in scalper terminal for better trading. if possible,2026-06-06 00:21:39+00:00,google_play
5,,🌪️,2026-06-06 00:11:51+00:00,google_play
1,,not able to install,2026-06-06 00:08:43+00:00,google_play
2,,ट्रेड घेतला की अँप हँग होतो आणि प्रत्येक वेळेस अँप मध्येच बंद पडतो 2 वर्षपासून वापरत होतो चांगला चालत होता पण आता अपडेट्स केला की हँग होतो या मुळे मी हे अँप डिलिट करून दुसरा अँप वर ट्रेडिंग चालू केली आता तरी groww वाल्याना समजेल coustmer सपोर्ट पण बरोबर नाही आहै,2026-06-05 23:02:28+00:00,google_play
2,,in my mobile I can't see nifty 50 in top. the box was cut . fix ui problem,2026-06-05 21:40:16+00:00,google_play
